FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120623;0000;;;0,404125;
120624;0000;;;0,387791;
120625;0000;;;0,353791;
120626;0000;;;;
120627;0000;;;0,442333;
120628;0000;;;0,502832;
120629;0000;;;0,351583;
120630;0000;;;0,299;
120701;0000;;;0,208625;
120702;0000;;;0,130625;
120703;0000;;;0,188125;
120704;0000;;;0,295875;
120705;0000;;;0,270166;
120706;0000;;;0,492958;
120707;0000;;;0,529541;
120708;0000;;;0,522582;
120709;0000;;;0,352208;
120710;0000;;;0,520999;
120711;0000;;;0,606249;
120712;0000;;;0,642666;
120713;0000;;;;
120714;0000;;;;
120715;0000;;;;
120716;0000;;;;
120717;0000;;;;
120718;0000;;;;
120719;0000;;;;
120720;0000;;;;
120721;0000;;;;
120722;0000;;;;
120723;0000;;;;
120724;0000;;;0,355875;
120725;0000;;;0,447791;
120726;0000;;;0,502707;
120727;0000;;;0,425083;
120728;0000;;;0,536999;
120729;0000;;;0,489625;
120730;0000;;;0,241958;
120731;0000;;;0,0907083;
120801;0000;;;0,054619;
120802;0000;;;;
120803;0000;;;0,306166;
120804;0000;;;0,473333;
120805;0000;;;0,367333;
120806;0000;;;0,2845;
120807;0000;;;0,459458;
120808;0000;;;0,483833;
120809;0000;;;0,357916;
120810;0000;;;0,281333;
120811;0000;;;0,287958;
120812;0000;;;0,271791;
120813;0000;;;0,417375;
120814;0000;;;0,467958;
120815;0000;;;0,393125;
120816;0000;;;0,261541;
120817;0000;;;0,32619;
120818;0000;;;0,214333;
120819;0000;;;0,256521;
120820;0000;;;0,332681;
120821;0000;;;0,225333;
120822;0000;;;0,245791;
120823;0000;;;0,138083;
120824;0000;;;;
120825;0000;;;;
120826;0000;;;;
120827;0000;;;;
120828;0000;;;0,142565;
120829;0000;;;0,222368;
120830;0000;;;0,430826;
120831;0000;;;0,3825;
120901;0000;;;0,378416;
120902;0000;;;0,322916;
120903;0000;;;0,158958;
120904;0000;;;0,128833;
120905;0000;;;0,169583;
120906;0000;;;0,197291;
120907;0000;;;0,173625;
120908;0000;;;0,208916;
120909;0000;;;0,147917;
120910;0000;;;0,181521;
120911;0000;;;0,107417;
120912;0000;;;0,201541;
120913;0000;;;0,152958;
120914;0000;;;0,0996249;
120915;0000;;;0,0874165;
120916;0000;;;0,16025;
120917;0000;;;0,0929582;
120918;0000;;;0,137666;
120919;0000;;;0,0659999;
120920;0000;;;0,206909;
120921;0000;;;0,304625;
120922;0000;;;0,377583;
120923;0000;;;0,250583;
120924;0000;;;0,327958;
120925;0000;;;0,384916;
120926;0000;;;0,435458;
120927;0000;;;0,499666;
120928;0000;;;0,543791;
120929;0000;;;0,531082;
120930;0000;;;0,376291;
121001;0000;;;0,452916;
121002;0000;;;0,389041;
121003;0000;;;0,379208;
121004;0000;;;0,146913;
121005;0000;;;0,167166;
121006;0000;;;0,17875;
121007;0000;;;0,23175;
121008;0000;;;0,189348;
121009;0000;;;;
121010;0000;;;0,496749;
121011;0000;;;0,412374;
121012;0000;;;0,393583;
121013;0000;;;0,394458;
121014;0000;;;0,394791;
121015;0000;;;0,417333;
121016;0000;;;0,493166;
121017;0000;;;0,459249;
121018;0000;;;0,397458;
121019;0000;;;0,395458;
121020;0000;;;0,473791;
121021;0000;;;0,443041;
121022;0000;;;0,436958;
121023;0000;;;0,415208;
121024;0000;;;0,35025;
121025;0000;;;0,359291;
121026;0000;;;0,358916;
121027;0000;;;0,370083;
121028;0000;;;0,432333;
121029;0000;;;0,437624;
121030;0000;;;0,390916;
121031;0000;;;0,39125;
121101;0000;;;0,374708;
121102;0000;;;0,337375;
121103;0000;;;0,40425;
121104;0000;;;0,37475;
121105;0000;;;0,339583;
121106;0000;;;0,32975;
121107;0000;;;0,335666;
121108;0000;;;0,308833;
121109;0000;;;0,170625;
121110;0000;;;;
121111;0000;;;;
121112;0000;;;0,1175;
121113;0000;;;0,271041;
121114;0000;;;0,1635;
121115;0000;;;0,160208;
121116;0000;;;0,22375;
121117;0000;;;;
121118;0000;;;0,100695;
121119;0000;;;0,130125;
121120;0000;;;;
121121;0000;;;0,155208;
121122;0000;;;0,242375;
121123;0000;;;0,286791;
121124;0000;;;0,332083;
121125;0000;;;0,287166;
121126;0000;;;0,222666;
121127;0000;;;0,331958;
121128;0000;;;0,279875;
121129;0000;;;0,245291;
121130;0000;;;0,306499;
121201;0000;;;0,295541;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;;
121206;0000;;;0,168952;
121207;0000;;;0,146625;
121208;0000;;;0,263291;
121209;0000;;;0,159458;
121210;0000;;;0,0971249;
121211;0000;;;0,15675;
121212;0000;;;0,0444583;
121213;0000;;;0,107208;
121214;0000;;;0,156625;
121215;0000;;;0,24675;
121216;0000;;;0,10625;
121217;0000;;;;
121218;0000;;;0,454957;
121219;0000;;;0,479809;
121220;0000;;;0,406958;
121221;0000;;;0,369999;
121222;0000;;;0,401124;
121223;0000;;;0,355416;
121224;0000;;;0,391083;
121225;0000;;;0,336166;
121226;0000;;;0,371124;
121227;0000;;;0,338416;
121228;0000;;;0,341666;
121229;0000;;;0,326;
121230;0000;;;0,360541;
121231;0000;;;0,372499;
130101;0000;;;0,429124;
130102;0000;;;0,308;
130103;0000;;;0,256166;
130104;0000;;;0,281458;
130105;0000;;;0,407541;
130106;0000;;;0,443375;
130107;0000;;;0,356333;
130108;0000;;;0,465666;
130109;0000;;;0,598707;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;0,333083;
130114;0000;;;0,278125;
130115;0000;;;0,290272;
130116;0000;;;0,394894;
130117;0000;;;;
130118;0000;;;0,15835;
130119;0000;;;;
130120;0000;;;;
130121;0000;;;;
130122;0000;;;;
130123;0000;;;0,0964284;
130124;0000;;;0,07195;
130125;0000;;;0,0764736;
130126;0000;;;0,1247;
130127;0000;;;0,10025;
130128;0000;;;0,0881428;
130129;0000;;;0,164428;
130130;0000;;;0,145143;
130131;0000;;;0,19795;
130201;0000;;;0,146708;
130202;0000;;;0,257124;
130203;0000;;;0,22675;
130204;0000;;;;
130205;0000;;;0,22721;
130206;0000;;;;
130207;0000;;;;
130208;0000;;;;
130209;0000;;;;
130210;0000;;;;
130211;0000;;;;
130212;0000;;;;
130213;0000;;;;
130214;0000;;;0,173111;
130215;0000;;;0,178684;
130216;0000;;;0,283083;
130217;0000;;;0,20875;
130218;0000;;;;
130219;0000;;;0,173778;
130220;0000;;;;
130221;0000;;;0,174476;
130222;0000;;;0,150222;
130223;0000;;;0,141956;
130224;0000;;;0,247916;
130225;0000;;;0,120333;
130226;0000;;;0,163666;
130227;0000;;;0,150458;
130228;0000;;;0,282541;
130301;0000;;;0,178583;
130302;0000;;;0,186541;
130303;0000;;;0,183083;
130304;0000;;;0,142261;
130305;0000;;;;
130306;0000;;;0,366666;
130307;0000;;;0,185458;
130308;0000;;;0,204166;
130309;0000;;;0,282583;
130310;0000;;;0,296666;
130311;0000;;;0,276042;
130312;0000;;;0,318541;
130313;0000;;;0,296333;
130314;0000;;;0,279875;
130315;0000;;;0,364791;
130316;0000;;;0,393166;
130317;0000;;;0,314875;
130318;0000;;;0,293166;
130319;0000;;;0,321125;
130320;0000;;;0,134833;
130321;0000;;;0,155333;
130322;0000;;;0,177208;
130323;0000;;;0,136583;
130324;0000;;;0,147818;
130325;0000;;;0,268409;
130326;0000;;;0,344291;
130327;0000;;;0,263833;
