FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120623;0000;;;15,222;
120624;0000;;;10,6635;
120625;0000;;;19,8;
120626;0000;;;;
120627;0000;;;;
120628;0000;;;22,9272;
120629;0000;;;10,4218;
120630;0000;;;7,58474;
120701;0000;;;3,06533;
120702;0000;;;2,51554;
120703;0000;;;3,57941;
120704;0000;;;6,29153;
120705;0000;;;6,07333;
120706;0000;;;19,2935;
120707;0000;;;19,4816;
120708;0000;;;16,8464;
120709;0000;;;11,3205;
120710;0000;;;15,7493;
120711;0000;;;22,4845;
120712;0000;;;23,3166;
120713;0000;;;;
120714;0000;;;;
120715;0000;;;;
120716;0000;;;;
120717;0000;;;;
120718;0000;;;;
120719;0000;;;;
120720;0000;;;;
120721;0000;;;;
120722;0000;;;;
120723;0000;;;;
120724;0000;;;11,448;
120725;0000;;;18,5915;
120726;0000;;;10,1331;
120727;0000;;;10,5067;
120728;0000;;;10,1337;
120729;0000;;;11,5346;
120730;0000;;;12,9377;
120731;0000;;;2,80925;
120801;0000;;;1,91108;
120802;0000;;;9,96866;
120803;0000;;;5,44641;
120804;0000;;;8,26074;
120805;0000;;;7,67695;
120806;0000;;;3,71346;
120807;0000;;;24,363;
120808;0000;;;24,1324;
120809;0000;;;14,435;
120810;0000;;;11,5049;
120811;0000;;;8,11636;
120812;0000;;;5,94753;
120813;0000;;;15,5806;
120814;0000;;;20,7425;
120815;0000;;;15,9477;
120816;0000;;;10,0499;
120817;0000;;;19,0962;
120818;0000;;;17,3117;
120819;0000;;;17,0971;
120820;0000;;;21,9817;
120821;0000;;;17,2101;
120822;0000;;;12,6205;
120823;0000;;;10,9306;
120824;0000;;;7,26308;
120825;0000;;;7,62399;
120826;0000;;;14,6346;
120827;0000;;;15,1139;
120828;0000;;;17,0152;
120829;0000;;;24,1274;
120830;0000;;;15,1737;
120831;0000;;;27,7831;
120901;0000;;;20,6928;
120902;0000;;;14,6021;
120903;0000;;;20,6775;
120904;0000;;;18,0829;
120905;0000;;;14,1554;
120906;0000;;;14,3569;
120907;0000;;;13,4216;
120908;0000;;;11,6884;
120909;0000;;;13,827;
120910;0000;;;14,8984;
120911;0000;;;11,4377;
120912;0000;;;10,787;
120913;0000;;;9,95537;
120914;0000;;;8,39465;
120915;0000;;;7,97983;
120916;0000;;;13,3536;
120917;0000;;;7,44782;
120918;0000;;;8,18661;
120919;0000;;;6,36103;
120920;0000;;;11,9809;
120921;0000;;;14,003;
120922;0000;;;17,5103;
120923;0000;;;7,74603;
120924;0000;;;13,3566;
120925;0000;;;17,4178;
120926;0000;;;12,0809;
120927;0000;;;11,5251;
120928;0000;;;18,4362;
120929;0000;;;22,9073;
120930;0000;;;9,71178;
121001;0000;;;10,1782;
121002;0000;;;11,5753;
121003;0000;;;7,97424;
121004;0000;;;8,69653;
121005;0000;;;11,5125;
121006;0000;;;11,083;
121007;0000;;;12,2004;
121008;0000;;;12,8355;
121009;0000;;;19,2337;
121010;0000;;;22,8063;
121011;0000;;;9,5907;
121012;0000;;;8,94569;
121013;0000;;;8,67865;
121014;0000;;;9,43565;
121015;0000;;;8,9859;
121016;0000;;;14,1358;
121017;0000;;;13,1324;
121018;0000;;;6,88303;
121019;0000;;;7,53362;
121020;0000;;;12,0184;
121021;0000;;;12,8302;
121022;0000;;;11,8542;
121023;0000;;;13,9494;
121024;0000;;;10,8802;
121025;0000;;;10,7073;
121026;0000;;;9,9402;
121027;0000;;;10,2991;
121028;0000;;;10,9328;
121029;0000;;;7,57549;
121030;0000;;;8,11095;
121031;0000;;;10,8946;
121101;0000;;;15,3757;
121102;0000;;;10,5587;
121103;0000;;;13,0543;
121104;0000;;;12,2544;
121105;0000;;;11,9654;
121106;0000;;;9,31287;
121107;0000;;;9,79144;
121108;0000;;;19,2575;
121109;0000;;;13,0576;
121110;0000;;;14,4134;
121111;0000;;;12,5849;
121112;0000;;;6,60494;
121113;0000;;;9,70715;
121114;0000;;;4,05679;
121115;0000;;;4,58491;
121116;0000;;;5,00295;
121117;0000;;;6,33887;
121118;0000;;;9,1474;
121119;0000;;;4,66608;
121120;0000;;;15,4144;
121121;0000;;;2,36413;
121122;0000;;;1,54512;
121123;0000;;;3,29074;
121124;0000;;;6,73029;
121125;0000;;;2,93304;
121126;0000;;;2,33716;
121127;0000;;;7,49979;
121128;0000;;;2,88191;
121129;0000;;;2,541;
121130;0000;;;9,49033;
121201;0000;;;8,82069;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;7,49099;
121206;0000;;;6,08844;
121207;0000;;;1,34187;
121208;0000;;;4,20387;
121209;0000;;;0,898748;
121210;0000;;;1,02971;
121211;0000;;;10,7164;
121212;0000;;;2,04166;
121213;0000;;;3,54637;
121214;0000;;;3,5062;
121215;0000;;;9,15199;
121216;0000;;;3,70145;
121217;0000;;;27,0875;
121218;0000;;;11,2651;
121219;0000;;;5,91861;
121220;0000;;;4,15291;
121221;0000;;;3,51733;
121222;0000;;;6,00249;
121223;0000;;;4,66191;
121224;0000;;;4,95408;
121225;0000;;;1,73191;
121226;0000;;;6,05037;
121227;0000;;;6,5392;
121228;0000;;;3,00612;
121229;0000;;;2,1502;
121230;0000;;;2,14771;
121231;0000;;;1,53846;
130101;0000;;;4,81599;
130102;0000;;;6,28624;
130103;0000;;;1,4263;
130104;0000;;;3,70191;
130105;0000;;;4,147;
130106;0000;;;1,35554;
130107;0000;;;5,35699;
130108;0000;;;20,111;
130109;0000;;;6,9747;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;8,04161;
130114;0000;;;8,74011;
130115;0000;;;15,1447;
130116;0000;;;13,7591;
130117;0000;;;4,48791;
130118;0000;;;4,11595;
130119;0000;;;2,52141;
130120;0000;;;2,519;
130121;0000;;;2,85058;
130122;0000;;;15,0252;
130123;0000;;;1,19837;
130124;0000;;;2,06633;
130125;0000;;;2,09662;
130126;0000;;;3,05937;
130127;0000;;;2,2835;
130128;0000;;;2,19958;
130129;0000;;;14,0511;
130130;0000;;;3,51766;
130131;0000;;;4,53483;
130201;0000;;;2,44812;
130202;0000;;;8,18558;
130203;0000;;;5,63216;
130204;0000;;;2,33066;
130205;0000;;;10,5524;
130206;0000;;;2,67041;
130207;0000;;;2,65117;
130208;0000;;;4,3667;
130209;0000;;;8,42581;
130210;0000;;;5,40128;
130211;0000;;;4,61824;
130212;0000;;;9,33603;
130213;0000;;;3,01966;
130214;0000;;;6,17558;
130215;0000;;;4,62762;
130216;0000;;;10,5924;
130217;0000;;;2,9432;
130218;0000;;;5,355;
130219;0000;;;16,1209;
130220;0000;;;5,00003;
130221;0000;;;7,58003;
130222;0000;;;6,39808;
130223;0000;;;5,73208;
130224;0000;;;7,57307;
130225;0000;;;5,06837;
130226;0000;;;15,7664;
130227;0000;;;2,82558;
130228;0000;;;5,89291;
130301;0000;;;6,87237;
130302;0000;;;11,2951;
130303;0000;;;3,56124;
130304;0000;;;3,09383;
130305;0000;;;;
130306;0000;;;7,06908;
130307;0000;;;5,95229;
130308;0000;;;5,58912;
130309;0000;;;8,19894;
130310;0000;;;7,9242;
130311;0000;;;6,63428;
130312;0000;;;8,96594;
130313;0000;;;23,8811;
130314;0000;;;6,96362;
130315;0000;;;10,8394;
130316;0000;;;3,845;
130317;0000;;;3,60196;
130318;0000;;;5,6907;
130319;0000;;;;
130320;0000;;;;
130321;0000;;;26,7946;
130322;0000;;;26,3162;
130323;0000;;;23,8921;
130324;0000;;;26,807;
130325;0000;;;28,3843;
130326;0000;;;31,2414;
130327;0000;;;5,53816;
130328;0000;;;4,7292;
130329;0000;;;4,12728;
130330;0000;;;3,04466;
130331;0000;;;3,479;
130401;0000;;;6,84933;
130402;0000;;;16,7389;
130403;0000;;;1,539;
130404;0000;;;1,65383;
130405;0000;;;5,40103;
130406;0000;;;5,38503;
130407;0000;;;6,93545;
130408;0000;;;7,09721;
130409;0000;;;10,7655;
130410;0000;;;4,35275;
130411;0000;;;;
130412;0000;;;;
130413;0000;;;;
130414;0000;;;;
130415;0000;;;;
130416;0000;;;;
130417;0000;;;;
130418;0000;;;;
130419;0000;;;;
130420;0000;;;;
130421;0000;;;;
130422;0000;;;;
130423;0000;;;;
130424;0000;;;;
130425;0000;;;;
130426;0000;;;;
130427;0000;;;;
