FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120623;0000;;;21,1571;
120624;0000;;;18,381;
120625;0000;;;31,7668;
120626;0000;;;24,4949;
120627;0000;;;22,0846;
120628;0000;;;35,6279;
120629;0000;;;20,1666;
120630;0000;;;14,7036;
120701;0000;;;7,65949;
120702;0000;;;6,06508;
120703;0000;;;9,31937;
120704;0000;;;14,3302;
120705;0000;;;14,5536;
120706;0000;;;30,3287;
120707;0000;;;32,5687;
120708;0000;;;28,3445;
120709;0000;;;20,8951;
120710;0000;;;25,8575;
120711;0000;;;33,3613;
120712;0000;;;34,8076;
120713;0000;;;32,7557;
120714;0000;;;3,07725;
120715;0000;;;4,58041;
120716;0000;;;15,9894;
120717;0000;;;16,8564;
120718;0000;;;17,3331;
120719;0000;;;43,8719;
120720;0000;;;45,4419;
120721;0000;;;39,6633;
120722;0000;;;21,7866;
120723;0000;;;15,9658;
120724;0000;;;1,46771;
120725;0000;;;3,6907;
120726;0000;;;2,82908;
120727;0000;;;4,90932;
120728;0000;;;7,44728;
120729;0000;;;4,19474;
120730;0000;;;4,42441;
120731;0000;;;5,33337;
120801;0000;;;2,52937;
120802;0000;;;4,88783;
120803;0000;;;5,3477;
120804;0000;;;4,09249;
120805;0000;;;6,43382;
120806;0000;;;6,02695;
120807;0000;;;7,49574;
120808;0000;;;7,15733;
120809;0000;;;5,61941;
120810;0000;;;6,04549;
120811;0000;;;4,9972;
120812;0000;;;4,70866;
120813;0000;;;7,46441;
120814;0000;;;9,40282;
120815;0000;;;8,44035;
120816;0000;;;7,76186;
120817;0000;;;8,64723;
120818;0000;;;7,64582;
120819;0000;;;7,67199;
120820;0000;;;13,3021;
120821;0000;;;16,6094;
120822;0000;;;17,115;
120823;0000;;;13,2525;
120824;0000;;;12,1775;
120825;0000;;;13,0388;
120826;0000;;;15,1033;
120827;0000;;;14,9896;
120828;0000;;;13,1829;
120829;0000;;;13,6148;
120830;0000;;;16,1261;
120831;0000;;;16,9704;
120901;0000;;;16,7633;
120902;0000;;;14,9371;
120903;0000;;;13,4237;
120904;0000;;;9,67648;
120905;0000;;;12,6783;
120906;0000;;;12,7791;
120907;0000;;;14,6446;
120908;0000;;;12,1949;
120909;0000;;;14,1175;
120910;0000;;;12,7191;
120911;0000;;;14,1067;
120912;0000;;;12,728;
120913;0000;;;16,1533;
120914;0000;;;13,4475;
120915;0000;;;9,9032;
120916;0000;;;13,08;
120917;0000;;;13,6533;
120918;0000;;;15,8817;
120919;0000;;;12,9177;
120920;0000;;;17,0055;
120921;0000;;;20,7584;
120922;0000;;;27,365;
120923;0000;;;25,9975;
120924;0000;;;23,882;
120925;0000;;;23,3546;
120926;0000;;;25,1071;
120927;0000;;;27,5112;
120928;0000;;;20,7988;
120929;0000;;;10,8317;
120930;0000;;;10,7661;
121001;0000;;;12,5429;
121002;0000;;;10,6467;
121003;0000;;;10,5178;
121004;0000;;;11,5659;
121005;0000;;;12,1161;
121006;0000;;;11,8875;
121007;0000;;;11,2296;
121008;0000;;;11,4675;
121009;0000;;;12,932;
121010;0000;;;17,0381;
121011;0000;;;15,4917;
121012;0000;;;16,0808;
121013;0000;;;16,7904;
121014;0000;;;15,9062;
121015;0000;;;12,9562;
121016;0000;;;14,7053;
121017;0000;;;14,7267;
121018;0000;;;14,8429;
121019;0000;;;18,1033;
121020;0000;;;18,7146;
121021;0000;;;15,3429;
121022;0000;;;13,6979;
121023;0000;;;13,9617;
121024;0000;;;14,6879;
121025;0000;;;15,7596;
121026;0000;;;14,4521;
121027;0000;;;14,5383;
121028;0000;;;15,5983;
121029;0000;;;13,7824;
121030;0000;;;13,9404;
121031;0000;;;13,0108;
121101;0000;;;16,1487;
121102;0000;;;16,8087;
121103;0000;;;15,9417;
121104;0000;;;17,2329;
121105;0000;;;19,0958;
121106;0000;;;16,8341;
121107;0000;;;16,0075;
121108;0000;;;13,949;
121109;0000;;;23,1141;
121110;0000;;;22,8604;
121111;0000;;;15,5308;
121112;0000;;;10,8674;
121113;0000;;;3,09387;
121114;0000;;;3,15841;
121115;0000;;;2,94695;
121116;0000;;;3,10641;
121117;0000;;;3,10037;
121118;0000;;;4,56241;
121119;0000;;;3,47062;
121120;0000;;;2,85054;
121121;0000;;;2,12514;
121122;0000;;;1,55679;
121123;0000;;;3,75191;
121124;0000;;;5,53353;
121125;0000;;;4,63874;
121126;0000;;;3,59741;
121127;0000;;;4,43941;
121128;0000;;;3,46504;
121129;0000;;;3,14396;
121130;0000;;;3,87241;
121201;0000;;;4,51254;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;2,57109;
121206;0000;;;2,94694;
121207;0000;;;;
121208;0000;;;3,78104;
121209;0000;;;;
121210;0000;;;;
121211;0000;;;3,01846;
121212;0000;;;2,01754;
121213;0000;;;2,9972;
121214;0000;;;2,855;
121215;0000;;;3,49483;
121216;0000;;;2,62908;
121217;0000;;;;
121218;0000;;;4,62166;
121219;0000;;;4,80468;
121220;0000;;;3,71095;
121221;0000;;;3,41737;
121222;0000;;;4,38791;
121223;0000;;;3,84404;
121224;0000;;;3,8642;
121225;0000;;;1,73658;
121226;0000;;;2,24321;
121227;0000;;;4,98803;
121228;0000;;;4,69875;
121229;0000;;;3,19175;
121230;0000;;;3,63862;
121231;0000;;;1,90841;
130101;0000;;;4,78825;
130102;0000;;;3,86162;
130103;0000;;;1,936;
130104;0000;;;2,91928;
130105;0000;;;2,575;
130106;0000;;;1,36283;
130107;0000;;;2,45095;
130108;0000;;;2,56791;
130109;0000;;;2,65833;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;1,52029;
130114;0000;;;1,75187;
130115;0000;;;2,77987;
130116;0000;;;2,99133;
130117;0000;;;3,42166;
130118;0000;;;1,93229;
130119;0000;;;1,547;
130120;0000;;;1,45779;
130121;0000;;;2,60891;
130122;0000;;;;
130123;0000;;;;
130124;0000;;;0,811047;
