FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120623;0000;;;6,96174;
120624;0000;;;7,48666;
120625;0000;;;10,2762;
120626;0000;;;10,2009;
120627;0000;;;10,7698;
120628;0000;;;12,4109;
120629;0000;;;9,6322;
120630;0000;;;7,01824;
120701;0000;;;4,604;
120702;0000;;;3,58658;
120703;0000;;;5,77562;
120704;0000;;;8,04553;
120705;0000;;;8,50858;
120706;0000;;;10,9608;
120707;0000;;;13,1383;
120708;0000;;;11,6757;
120709;0000;;;9,62236;
120710;0000;;;9,5184;
120711;0000;;;10,3575;
120712;0000;;;10,8778;
120713;0000;;;3,76983;
120714;0000;;;0,197833;
120715;0000;;;0,361625;
120716;0000;;;0,459875;
120717;0000;;;0,436124;
120718;0000;;;0,417749;
120719;0000;;;0,4035;
120720;0000;;;0,389958;
120721;0000;;;0,548666;
120722;0000;;;0,522499;
120723;0000;;;6,88253;
120724;0000;;;13,5466;
120725;0000;;;22,704;
120726;0000;;;13,4835;
120727;0000;;;15,9604;
120728;0000;;;18,1485;
120729;0000;;;16,2865;
120730;0000;;;17,912;
120731;0000;;;8,59245;
120801;0000;;;4,87299;
120802;0000;;;15,3279;
120803;0000;;;11,39;
120804;0000;;;12,9812;
120805;0000;;;14,7095;
120806;0000;;;10,2953;
120807;0000;;;32,4272;
120808;0000;;;31,905;
120809;0000;;;20,6975;
120810;0000;;;18,2904;
120811;0000;;;13,7867;
120812;0000;;;11,2836;
120813;0000;;;23,7408;
120814;0000;;;30,8745;
120815;0000;;;24,99;
120816;0000;;;18,1629;
120817;0000;;;27,9916;
120818;0000;;;25,1671;
120819;0000;;;25,0146;
120820;0000;;;35,6108;
120821;0000;;;34,0758;
120822;0000;;;29,8991;
120823;0000;;;24,1475;
120824;0000;;;19,3487;
120825;0000;;;20,6258;
120826;0000;;;29,7029;
120827;0000;;;30,1029;
120828;0000;;;30,3;
120829;0000;;;38,0331;
120830;0000;;;31,7134;
120831;0000;;;45,2262;
120901;0000;;;37,8699;
120902;0000;;;29,927;
120903;0000;;;34,4441;
120904;0000;;;27,9561;
120905;0000;;;26,8812;
120906;0000;;;27,1587;
120907;0000;;;28,1054;
120908;0000;;;23,9041;
120909;0000;;;27,9854;
120910;0000;;;27,4879;
120911;0000;;;25,1075;
120912;0000;;;22,9927;
120913;0000;;;25,6471;
120914;0000;;;21,4041;
120915;0000;;;17,4808;
120916;0000;;;26,215;
120917;0000;;;20,8346;
120918;0000;;;23,8091;
120919;0000;;;19,0283;
120920;0000;;;29,005;
120921;0000;;;35,7687;
120922;0000;;;45,947;
120923;0000;;;34,6566;
120924;0000;;;38,1312;
120925;0000;;;41,0233;
120926;0000;;;36,812;
120927;0000;;;38,9337;
120928;0000;;;39,1649;
120929;0000;;;33,6148;
120930;0000;;;20,2545;
121001;0000;;;22,4975;
121002;0000;;;21,9734;
121003;0000;;;18,252;
121004;0000;;;20,0358;
121005;0000;;;23,4487;
121006;0000;;;22,7637;
121007;0000;;;23,1917;
121008;0000;;;24,1146;
121009;0000;;;31,7905;
121010;0000;;;39,0937;
121011;0000;;;24,0887;
121012;0000;;;24,0833;
121013;0000;;;24,5683;
121014;0000;;;24,4108;
121015;0000;;;20,8937;
121016;0000;;;27,8804;
121017;0000;;;26,8666;
121018;0000;;;20,7954;
121019;0000;;;24,7379;
121020;0000;;;29,8787;
121021;0000;;;27,3246;
121022;0000;;;24,7046;
121023;0000;;;26,9404;
121024;0000;;;24,5962;
121025;0000;;;25,5987;
121026;0000;;;23,3612;
121027;0000;;;23,8671;
121028;0000;;;25,6412;
121029;0000;;;20,4858;
121030;0000;;;21,3546;
121031;0000;;;23,1654;
121101;0000;;;30,7487;
121102;0000;;;26,5871;
121103;0000;;;28,2612;
121104;0000;;;28,742;
121105;0000;;;30,3383;
121106;0000;;;25,4104;
121107;0000;;;25,0692;
121108;0000;;;32,4112;
121109;0000;;;35,4175;
121110;0000;;;36,4979;
121111;0000;;;27,29;
121112;0000;;;17,1341;
121113;0000;;;14,0967;
121114;0000;;;8,37019;
121115;0000;;;8,43524;
121116;0000;;;8,81677;
121117;0000;;;9,7919;
121118;0000;;;13,9582;
121119;0000;;;8,29231;
