FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120623;0000;;;9,74081;
120624;0000;;;7,92157;
120625;0000;;;5,61541;
120626;0000;;;18,4604;
120627;0000;;;13,2775;
120628;0000;;;7,43366;
120629;0000;;;11,3587;
120630;0000;;;13,49;
120701;0000;;;24,3275;
120702;0000;;;27,4742;
120703;0000;;;21,0104;
120704;0000;;;17,689;
120705;0000;;;17,0776;
120706;0000;;;10,2172;
120707;0000;;;12,1923;
120708;0000;;;11,6799;
120709;0000;;;12,3983;
120710;0000;;;15,9027;
120711;0000;;;9,61348;
120712;0000;;;8,31078;
120713;0000;;;12,6769;
120714;0000;;;19,7237;
120715;0000;;;15,7034;
120716;0000;;;11,4318;
120717;0000;;;8,90703;
120718;0000;;;9,76561;
120719;0000;;;13,476;
120720;0000;;;5,78679;
120721;0000;;;7,84499;
120722;0000;;;7,46741;
120723;0000;;;9,38678;
120724;0000;;;16,7493;
120725;0000;;;9,29315;
120726;0000;;;11,505;
120727;0000;;;11,2689;
120728;0000;;;10,7965;
120729;0000;;;10,1723;
120730;0000;;;12,3136;
120731;0000;;;23,8112;
120801;0000;;;25,89;
120802;0000;;;20,0279;
120803;0000;;;14,299;
120804;0000;;;10,2064;
120805;0000;;;14,8284;
120806;0000;;;19,6327;
120807;0000;;;14,5442;
120808;0000;;;4,41399;
120809;0000;;;5,33807;
120810;0000;;;6,25453;
120811;0000;;;7,33799;
120812;0000;;;9,44733;
120813;0000;;;3,98754;
120814;0000;;;2,81475;
120815;0000;;;6,11824;
120816;0000;;;15,4438;
120817;0000;;;5,61153;
120818;0000;;;6,42725;
120819;0000;;;5,99962;
120820;0000;;;8,23607;
120821;0000;;;28,672;
120822;0000;;;;
120823;0000;;;;
120824;0000;;;;
120825;0000;;;;
120826;0000;;;;
120827;0000;;;;
120828;0000;;;21,7838;
120829;0000;;;;
120830;0000;;;3,39265;
120831;0000;;;3,2503;
120901;0000;;;3,84066;
120902;0000;;;2,91854;
120903;0000;;;1,63865;
120904;0000;;;14,2488;
120905;0000;;;;
