FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190710;0000;;;23;
190711;0000;;;32;
190712;0000;;;25;
190713;0000;;;36;
190714;0000;;;46;
190715;0000;;;71;
190716;0000;;;61;
190717;0000;;;43;
190718;0000;;;46;
190719;0000;;;61;
190720;0000;;;89;
190721;0000;;;44;
190722;0000;;;53;
190723;0000;;;42;
190724;0000;;;49;
190725;0000;;;48;
190726;0000;;;48;
190727;0000;;;57;
190728;0000;;;42;
190729;0000;;;46;
190730;0000;;;37;
190731;0000;;;32;
190801;0000;;;;
190802;0000;;;55;
190803;0000;;;89;
190804;0000;;;73;
190805;0000;;;42;
190806;0000;;;24;
190807;0000;;;38;
190808;0000;;;41;
190809;0000;;;34;
190810;0000;;;46;
190811;0000;;;33;
190812;0000;;;40;
190813;0000;;;70;
190814;0000;;;44;
190815;0000;;;31;
190816;0000;;;18;
190817;0000;;;31;
190818;0000;;;50;
190819;0000;;;33;
190820;0000;;;33;
190821;0000;;;31;
190822;0000;;;61;
190823;0000;;;42;
190824;0000;;;57;
190825;0000;;;38;
190826;0000;;;27;
190827;0000;;;56;
190828;0000;;;45;
190829;0000;;;18;
190830;0000;;;39;
190831;0000;;;56;
190901;0000;;;46;
190902;0000;;;53;
190903;0000;;;44;
190904;0000;;;38;
190905;0000;;;22;
190906;0000;;;30;
190907;0000;;;25;
190908;0000;;;16;
190909;0000;;;18;
190910;0000;;;44;
190911;0000;;;39;
190912;0000;;;61;
190913;0000;;;45;
190914;0000;;;34;
190915;0000;;;35;
190916;0000;;;37;
190917;0000;;;56;
190918;0000;;;58;
190919;0000;;;56;
190920;0000;;;96;
190921;0000;;;80;
190922;0000;;;28;
190923;0000;;;22;
190924;0000;;;19;
190925;0000;;;25;
190926;0000;;;22;
190927;0000;;;21;
190928;0000;;;38;
190929;0000;;;22;
190930;0000;;;20;
191001;0000;;;30;
191002;0000;;;46;
191003;0000;;;33;
191004;0000;;;49;
191005;0000;;;42;
191006;0000;;;41;
191007;0000;;;39;
191008;0000;;;58;
191009;0000;;;51;
191010;0000;;;31;
191011;0000;;;22;
191012;0000;;;30;
191013;0000;;;46;
191014;0000;;;21;
191015;0000;;;26;
191016;0000;;;31;
191017;0000;;;29;
191018;0000;;;39;
191019;0000;;;29;
191020;0000;;;34;
