FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120623;0000;;;27,6646;
120624;0000;;;33,9437;
120625;0000;;;69,6548;
120626;0000;;;41,8972;
120627;0000;;;18,1389;
120628;0000;;;21,0897;
120629;0000;;;10,3042;
120630;0000;;;10,3932;
120701;0000;;;3,81062;
120702;0000;;;2,57766;
120703;0000;;;3,95321;
120704;0000;;;30,9776;
120705;0000;;;4,0072;
120706;0000;;;16,9692;
120707;0000;;;45,463;
120708;0000;;;81,224;
120709;0000;;;51,3757;
120710;0000;;;42,5106;
120711;0000;;;29,5233;
120712;0000;;;44,7047;
120713;0000;;;84,396;
120714;0000;;;9,59256;
120715;0000;;;8,8194;
120716;0000;;;36,2699;
120717;0000;;;57,4821;
120718;0000;;;33,0883;
120719;0000;;;68,6388;
120720;0000;;;56,4366;
120721;0000;;;38,8221;
120722;0000;;;35,3776;
120723;0000;;;53,4919;
120724;0000;;;30,6089;
120725;0000;;;37,1841;
120726;0000;;;7,5617;
120727;0000;;;14,2077;
120728;0000;;;24,5796;
120729;0000;;;17,297;
120730;0000;;;24,7522;
120731;0000;;;5,81495;
120801;0000;;;3,36979;
120802;0000;;;18,1318;
120803;0000;;;15,1924;
120804;0000;;;19,4656;
120805;0000;;;30,9016;
120806;0000;;;5,92283;
120807;0000;;;36,715;
120808;0000;;;3,91121;
120809;0000;;;3,19008;
120810;0000;;;3,30404;
120811;0000;;;3,19096;
120812;0000;;;3,16595;
120813;0000;;;3,68045;
120814;0000;;;3,86379;
120815;0000;;;3,46779;
120816;0000;;;12,4215;
120817;0000;;;3,30021;
120818;0000;;;3,22837;
120819;0000;;;3,1545;
120820;0000;;;4,46825;
120821;0000;;;17,1655;
120822;0000;;;6,54612;
120823;0000;;;3,68062;
120824;0000;;;3,48149;
120825;0000;;;3,62837;
120826;0000;;;6,59795;
120827;0000;;;7,43449;
120828;0000;;;7,31283;
120829;0000;;;;
120830;0000;;;;
120831;0000;;;;
120901;0000;;;;
120902;0000;;;;
120903;0000;;;;
120904;0000;;;;
120905;0000;;;0,811499;
120906;0000;;;1,3175;
120907;0000;;;1,10012;
120908;0000;;;0,963165;
120909;0000;;;;
120910;0000;;;;
120911;0000;;;2,71308;
120912;0000;;;2,30429;
120913;0000;;;3,17508;
120914;0000;;;3,15791;
120915;0000;;;3,0185;
120916;0000;;;3,32229;
120917;0000;;;2,23312;
120918;0000;;;2,36121;
120919;0000;;;2,04279;
120920;0000;;;15,8592;
120921;0000;;;5,74466;
120922;0000;;;7,65678;
120923;0000;;;4,58091;
120924;0000;;;5,0717;
120925;0000;;;17,8636;
120926;0000;;;3,85041;
120927;0000;;;4,3455;
120928;0000;;;8,5562;
120929;0000;;;8,96281;
120930;0000;;;1,88554;
121001;0000;;;1,37862;
121002;0000;;;14,5172;
121003;0000;;;1,70062;
121004;0000;;;2,3497;
121005;0000;;;2,32979;
121006;0000;;;2,14541;
121007;0000;;;2,0942;
121008;0000;;;2,07287;
121009;0000;;;3,63655;
121010;0000;;;24,802;
121011;0000;;;0,753999;
121012;0000;;;0,805916;
121013;0000;;;0,683083;
121014;0000;;;0,764374;
121015;0000;;;0,624582;
121016;0000;;;11,2683;
121017;0000;;;1,91729;
121018;0000;;;1,75354;
121019;0000;;;1,90637;
121020;0000;;;2,36158;
121021;0000;;;2,74683;
121022;0000;;;2,78087;
121023;0000;;;2,92712;
121024;0000;;;2,191;
121025;0000;;;2,12062;
121026;0000;;;2,04195;
121027;0000;;;1,99442;
121028;0000;;;2,27054;
121029;0000;;;10,2204;
121030;0000;;;2,50554;
121031;0000;;;1,88687;
121101;0000;;;2,72354;
121102;0000;;;2,47208;
121103;0000;;;2,17912;
121104;0000;;;2,05987;
121105;0000;;;2,13912;
121106;0000;;;2,18645;
121107;0000;;;1,79496;
121108;0000;;;14,5436;
121109;0000;;;3,40662;
121110;0000;;;3,13083;
121111;0000;;;2,36754;
121112;0000;;;2,54234;
121113;0000;;;13,7487;
121114;0000;;;3,25966;
121115;0000;;;2,97704;
121116;0000;;;2,85762;
121117;0000;;;2,50862;
121118;0000;;;2,91929;
121119;0000;;;2,29408;
121120;0000;;;11,5451;
121121;0000;;;3,03712;
121122;0000;;;3,13687;
121123;0000;;;4,61958;
121124;0000;;;22,9731;
121125;0000;;;17,3446;
121126;0000;;;10,6712;
121127;0000;;;14,2541;
121128;0000;;;4,035;
121129;0000;;;3,71687;
121130;0000;;;17,336;
121201;0000;;;17,0254;
121202;0000;;;;
121203;0000;;;;
121204;0000;;;;
121205;0000;;;12,952;
121206;0000;;;16,7472;
121207;0000;;;3,238;
121208;0000;;;15,8787;
121209;0000;;;6,54182;
121210;0000;;;2,71766;
121211;0000;;;11,2651;
121212;0000;;;13,6158;
121213;0000;;;12,1177;
121214;0000;;;12,7746;
121215;0000;;;21,9509;
121216;0000;;;9,80281;
121217;0000;;;6,33049;
121218;0000;;;21,8621;
121219;0000;;;7,39954;
121220;0000;;;4,26228;
121221;0000;;;4,39191;
121222;0000;;;14,5331;
121223;0000;;;10,851;
121224;0000;;;12,2902;
121225;0000;;;3,6655;
121226;0000;;;9,89795;
121227;0000;;;19,8385;
121228;0000;;;25,9325;
121229;0000;;;16,5837;
121230;0000;;;12,695;
121231;0000;;;10,2529;
130101;0000;;;22,4404;
130102;0000;;;21,3752;
130103;0000;;;4,71816;
130104;0000;;;11,3513;
130105;0000;;;14,33;
130106;0000;;;7,35366;
130107;0000;;;10,7382;
130108;0000;;;22,4642;
130109;0000;;;6,6407;
130110;0000;;;;
130111;0000;;;;
130112;0000;;;;
130113;0000;;;5,37562;
130114;0000;;;5,1432;
130115;0000;;;19,2335;
130116;0000;;;20,1172;
130117;0000;;;6,18341;
130118;0000;;;2,78987;
130119;0000;;;1,54637;
130120;0000;;;1,51358;
130121;0000;;;2,74883;
130122;0000;;;8,6329;
130123;0000;;;3,02887;
130124;0000;;;4,3157;
130125;0000;;;8,44736;
130126;0000;;;6,02833;
130127;0000;;;3,10454;
130128;0000;;;3,74558;
130129;0000;;;7,00477;
130130;0000;;;11,7631;
130131;0000;;;15,8019;
130201;0000;;;3,59929;
130202;0000;;;13,1458;
130203;0000;;;15,5504;
130204;0000;;;2,87954;
130205;0000;;;12,3962;
130206;0000;;;3,08649;
130207;0000;;;2,79295;
130208;0000;;;6,64924;
130209;0000;;;11,4176;
130210;0000;;;3,57908;
130211;0000;;;3,82258;
130212;0000;;;16,1176;
130213;0000;;;3,03704;
130214;0000;;;8,18936;
130215;0000;;;3,28521;
130216;0000;;;3,6815;
130217;0000;;;2,85741;
130218;0000;;;6,43074;
130219;0000;;;13,8209;
130220;0000;;;4,56078;
130221;0000;;;8,4481;
130222;0000;;;13,6772;
130223;0000;;;7,38312;
130224;0000;;;14,0481;
130225;0000;;;8,87474;
130226;0000;;;10,1578;
130227;0000;;;3,77029;
130228;0000;;;8,41811;
130301;0000;;;14,573;
130302;0000;;;25,331;
130303;0000;;;4,96149;
130304;0000;;;4,8037;
130305;0000;;;;
130306;0000;;;10,5725;
130307;0000;;;6,41766;
130308;0000;;;5,77145;
130309;0000;;;6,16999;
130310;0000;;;5,09904;
130311;0000;;;5,16582;
