FECHA (YYMMDD);HORA (HHMM);;
120622;0100;;
120622;0200;;
120622;0300;;
120622;0400;;
120622;0500;;
120622;0600;;
120622;0700;;
120622;0800;;
120622;0900;;
120622;1000;;
120622;1100;;
120622;1200;;
120622;1300;;
120622;1400;;
120622;1500;;
120622;1600;;
120622;1700;2,252;
120622;1800;1,38;
120622;1900;2,048;
120622;2000;2,379;
120622;2100;1,156;
120622;2200;0,395;
120622;2300;0,231;
120623;0000;0,558;
120623;0100;0,254;
120623;0200;0;
120623;0300;0;
120623;0400;0;
120623;0500;0;
120623;0600;0;
120623;0700;0;
120623;0800;0;
120623;0900;0;
120623;1000;0,721999;
120623;1100;0,811999;
120623;1200;1,054;
120623;1300;1,424;
120623;1400;2,672;
120623;1500;2,664;
120623;1600;2,838;
120623;1700;3,927;
120623;1800;4,342;
120623;1900;3,862;
120623;2000;2,24;
120623;2100;2,819;
120623;2200;3,139;
120623;2300;1,926;
120624;0000;0,625;
120624;0100;0,903999;
120624;0200;0,218;
120624;0300;0;
120624;0400;0;
120624;0500;0;
120624;0600;0;
120624;0700;0;
120624;0800;0;
120624;0900;0;
120624;1000;0,315;
120624;1100;0,472;
120624;1200;0,728;
120624;1300;1,726;
120624;1400;2,349;
120624;1500;2,51;
120624;1600;2,833;
120624;1700;3,386;
120624;1800;2,478;
120624;1900;2,017;
120624;2000;1,08;
120624;2100;0,693;
120624;2200;0,058;
120624;2300;0,15;
120625;0000;0,136;
120625;0100;0,135;
120625;0200;0,124;
120625;0300;0,237;
120625;0400;0;
120625;0500;0,0769999;
120625;0600;0,227;
120625;0700;0,539;
120625;0800;0,573999;
120625;0900;0;
120625;1000;0;
120625;1100;0;
120625;1200;0;
120625;1300;0;
120625;1400;0;
120625;1500;0;
120625;1600;0;
120625;1700;0;
120625;1800;0;
120625;1900;0;
120625;2000;0;
120625;2100;0;
120625;2200;0;
120625;2300;0;
120626;0000;0;
120626;0100;0;
120626;0200;0;
120626;0300;0;
120626;0400;0;
120626;0500;0;
120626;0600;0;
120626;0700;0;
120626;0800;0;
120626;0900;0;
120626;1000;0;
120626;1100;0;
120626;1200;0;
120626;1300;0;
120626;1400;1,792;
120626;1500;2,335;
120626;1600;1,814;
120626;1700;1,425;
120626;1800;1,641;
120626;1900;1,455;
120626;2000;1,22;
120626;2100;0,921;
120626;2200;0,693999;
120626;2300;0,301;
120627;0000;0,371;
120627;0100;0,424;
120627;0200;0,740999;
120627;0300;0,971;
120627;0400;1,211;
120627;0500;1,035;
120627;0600;1,178;
120627;0700;0,960999;
120627;0800;1,167;
120627;0900;1,403;
120627;1000;1,02;
120627;1100;0,867999;
120627;1200;1,372;
120627;1300;1,141;
120627;1400;1,157;
