FECHA (YYMMDD);HORA (HHMM);;
160201;0100;0,496117;
160201;0200;1,20419;
160201;0300;0,850821;
160201;0400;0,441025;
160201;0500;0,270815;
160201;0600;0,298496;
160201;0700;0,813439;
160201;0800;1,13324;
160201;0900;1,43274;
160201;1000;1,36773;
160201;1100;1,55996;
160201;1200;1,92541;
160201;1300;2,87157;
160201;1400;2,3872;
160201;1500;2,3679;
160201;1600;2,0766;
160201;1700;1,66914;
160201;1800;1,58229;
160201;1900;1,39541;
160201;2000;1,09764;
160201;2100;1,59975;
160201;2200;1,561;
160201;2300;1,86497;
160202;0000;2,10613;
160202;0100;1,97706;
160202;0200;2,015;
160202;0300;1,39756;
160202;0400;1,16317;
160202;0500;0,617513;
160202;0600;0,759599;
160202;0700;0,789124;
160202;0800;1,09407;
160202;0900;0,97086;
160202;1000;0,652569;
160202;1100;1,72394;
160202;1200;1,6598;
160202;1300;2,62414;
160202;1400;2,8788;
160202;1500;2,95263;
160202;1600;2,70502;
160202;1700;2,73603;
160202;1800;2,61317;
160202;1900;3,2957;
160202;2000;3,05569;
160202;2100;3,15151;
160202;2200;3,30435;
160202;2300;2,92636;
160203;0000;3,41691;
160203;0100;2,98168;
160203;0200;2,9451;
160203;0300;2,59184;
160203;0400;3,03827;
160203;0500;3,26959;
160203;0600;2,88927;
160203;0700;2,3668;
160203;0800;1,40648;
160203;0900;1,16448;
160203;1000;1,42086;
160203;1100;2,01269;
160203;1200;2,52488;
160203;1300;2,7444;
160203;1400;3,01683;
160203;1500;2,90355;
160203;1600;2,48789;
160203;1700;2,05649;
160203;1800;1,65408;
160203;1900;1,17205;
160203;2000;1,42554;
160203;2100;1,25511;
160203;2200;1,33941;
160203;2300;1,60354;
160204;0000;1,31098;
160204;0100;2,78144;
160204;0200;4,18127;
160204;0300;3,84564;
160204;0400;3,54067;
160204;0500;3,09735;
160204;0600;3,10741;
160204;0700;2,62542;
160204;0800;3,04644;
160204;0900;3,18408;
160204;1000;2,32991;
160204;1100;2,24124;
160204;1200;2,24586;
160204;1300;2,19902;
160204;1400;2,12369;
160204;1500;2,18477;
160204;1600;1,96442;
160204;1700;1,63964;
160204;1800;1,25888;
160204;1900;1,06896;
160204;2000;1,5898;
160204;2100;2,02947;
160204;2200;2,08673;
160204;2300;1,89952;
160205;0000;1,50804;
160205;0100;1,47395;
160205;0200;1,41974;
160205;0300;2,10273;
160205;0400;2,02262;
160205;0500;1,82181;
160205;0600;2,34486;
160205;0700;2,63927;
160205;0800;2,71864;
160205;0900;3,7567;
160205;1000;3,55198;
160205;1100;3,65422;
160205;1200;3,20842;
160205;1300;3,48164;
160205;1400;3,34188;
160205;1500;3,3727;
160205;1600;2,73968;
160205;1700;2,8013;
160205;1800;2,56974;
160205;1900;2,5477;
160205;2000;3,13392;
160205;2100;2,41707;
160205;2200;0,936169;
160205;2300;1,36341;
160206;0000;1,90151;
160206;0100;2,01606;
160206;0200;2,08287;
160206;0300;2,54529;
160206;0400;2,75744;
160206;0500;2,3279;
160206;0600;2,17324;
160206;0700;2,00265;
160206;0800;1,73645;
160206;0900;1,34659;
160206;1000;1,20559;
160206;1100;1,93704;
160206;1200;2,25946;
160206;1300;2,43233;
160206;1400;3,01918;
160206;1500;2,5256;
160206;1600;2,18618;
160206;1700;2,11111;
