FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160201;0000;;;3,97704;
160202;0000;;;3,36533;
160203;0000;;;3,90416;
160204;0000;;;2,88184;
160205;0000;;;2,36893;
160206;0000;;;5,98305;
160207;0000;;;6,80539;
160208;0000;;;4,12204;
160209;0000;;;8,75056;
160210;0000;;;5,74811;
160211;0000;;;9,10616;
160212;0000;;;5,29595;
160213;0000;;;11,5967;
160214;0000;;;10,6787;
160215;0000;;;10,3761;
160216;0000;;;6,54273;
160217;0000;;;11,9187;
160218;0000;;;13,7782;
160219;0000;;;11,6647;
160220;0000;;;10,5923;
160221;0000;;;8,65915;
160222;0000;;;6,59981;
160223;0000;;;12,8385;
160224;0000;;;10,9578;
160225;0000;;;12,8797;
160226;0000;;;9,82228;
160227;0000;;;14,6732;
160228;0000;;;12,7968;
160229;0000;;;8,77013;
160301;0000;;;10,6599;
160302;0000;;;11,0017;
160303;0000;;;6,45148;
160304;0000;;;8,75252;
160305;0000;;;7,65218;
160306;0000;;;6,7051;
160307;0000;;;5,37179;
160308;0000;;;10,2213;
160309;0000;;;12,3402;
160310;0000;;;6,1516;
160311;0000;;;7,97116;
160312;0000;;;7,50367;
160313;0000;;;11,506;
160314;0000;;;12,2181;
160315;0000;;;8,62166;
160316;0000;;;7,07381;
160317;0000;;;7,87766;
160318;0000;;;13,9096;
160319;0000;;;14,5609;
160320;0000;;;9,7453;
160321;0000;;;6,30166;
160322;0000;;;13,57;
160323;0000;;;9,62767;
160324;0000;;;7,9546;
160325;0000;;;9,46123;
160326;0000;;;8,41103;
160327;0000;;;5,77807;
160328;0000;;;5,80306;
160329;0000;;;9,53665;
160330;0000;;;8,60469;
160331;0000;;;13,2263;
160401;0000;;;14,4685;
160402;0000;;;6,75083;
160403;0000;;;5,5596;
160404;0000;;;9,08438;
160405;0000;;;18,1891;
160406;0000;;;8,45332;
160407;0000;;;17,0196;
160408;0000;;;9,94412;
160409;0000;;;5,77225;
160410;0000;;;8,96393;
160411;0000;;;9,94934;
160412;0000;;;10,9719;
160413;0000;;;20,0429;
160414;0000;;;14,4077;
160415;0000;;;7,76371;
160416;0000;;;9,71964;
160417;0000;;;6,16064;
160418;0000;;;9,14127;
160419;0000;;;6,5;
160420;0000;;;10,5306;
160421;0000;;;11,7701;
160422;0000;;;11,9483;
160423;0000;;;7,61734;
160424;0000;;;8,35469;
160425;0000;;;7,37184;
160426;0000;;;18,8647;
160427;0000;;;23,1697;
160428;0000;;;15,9102;
160429;0000;;;12,8763;
160430;0000;;;24,5896;
160501;0000;;;8,41475;
160502;0000;;;12,1534;
160503;0000;;;19,0537;
160504;0000;;;10,4772;
160505;0000;;;11,1291;
160506;0000;;;14,5783;
160507;0000;;;12,0292;
160508;0000;;;11,8299;
160509;0000;;;15,5564;
160510;0000;;;20,1925;
160511;0000;;;11,4962;
160512;0000;;;19,0239;
160513;0000;;;21,4475;
160514;0000;;;10,1325;
160515;0000;;;8,48444;
160516;0000;;;15,9521;
160517;0000;;;14,0939;
160518;0000;;;14,6057;
160519;0000;;;14,4994;
160520;0000;;;14,7879;
160521;0000;;;9,4415;
160522;0000;;;19,4811;
160523;0000;;;18,7361;
160524;0000;;;47,863;
160525;0000;;;36,2216;
160526;0000;;;31,2117;
160527;0000;;;26,3412;
160528;0000;;;22,8368;
160529;0000;;;16,4977;
160530;0000;;;17,5971;
160531;0000;;;24,9617;
160601;0000;;;25,903;
160602;0000;;;29,2265;
160603;0000;;;8,90205;
160604;0000;;;8,94276;
160605;0000;;;8,30974;
160606;0000;;;14,1395;
160607;0000;;;19,5341;
160608;0000;;;27,0986;
160609;0000;;;25,4887;
160610;0000;;;34,6356;
160611;0000;;;28,0017;
160612;0000;;;21,7387;
160613;0000;;;16,8916;
160614;0000;;;20,0824;
160615;0000;;;24,885;
160616;0000;;;26,3354;
160617;0000;;;21,5282;
160618;0000;;;24,0387;
160619;0000;;;16,6558;
160620;0000;;;16,7689;
160621;0000;;;34,9042;
160622;0000;;;38,9393;
160623;0000;;;29,1241;
160624;0000;;;19,389;
160625;0000;;;14,4703;
160626;0000;;;18,9153;
160627;0000;;;17,8448;
