FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160121;0000;;;;
160122;0000;;;;
160123;0000;;;;
160124;0000;;;;
160125;0000;;;;
160126;0000;;;;
160127;0000;;;;
160128;0000;;;;
160129;0000;;;;
160130;0000;;;;
160131;0000;;;;
160201;0000;;11,3639;;
160202;0000;;17,1773;;
160203;0000;;16,1939;;
160204;0000;;13,5039;;
160205;0000;;;14,3462;
160206;0000;;;16,0512;
160207;0000;;;24,0559;
160208;0000;;;10,719;
160209;0000;;;15,1062;
160210;0000;;;8,09348;
160211;0000;;;11,021;
160212;0000;;8,59485;;
160213;0000;;19,7707;;
160214;0000;;17,6082;;
160215;0000;;17,4989;;
160216;0000;;10,9333;;
160217;0000;;12,2261;;
160218;0000;;15,7822;;
160219;0000;;18,0897;;
160220;0000;;24,5988;;
160221;0000;;13,5339;;
160222;0000;;10,491;;
160223;0000;;15,4292;;
160224;0000;;12,8038;;
160225;0000;;16,1551;;
160226;0000;;10,5372;;
160227;0000;;20,5125;;
160228;0000;;21,7118;;
160229;0000;;10,7286;;
160301;0000;;17,5092;;
160302;0000;;15,3681;;
160303;0000;;16,4144;;
160304;0000;;17,5465;;
160305;0000;;17,9987;;
160306;0000;;17,7735;;
160307;0000;;8,41591;;
160308;0000;;12,6183;;
160309;0000;;16,8259;;
160310;0000;;8,29794;;
160311;0000;;15,7414;;
160312;0000;;9,94852;;
160313;0000;;16,9333;;
160314;0000;;14,561;;
160315;0000;;18,475;;
160316;0000;;;18,4727;
160317;0000;;10,0479;;
160318;0000;;21,012;;
160319;0000;;20,3887;;
160320;0000;;18,8904;;
160321;0000;;19,9337;;
160322;0000;;31,2953;;
160323;0000;;27,1756;;
160324;0000;;16,1816;;
160325;0000;;28,0389;;
160326;0000;;26,2715;;
160327;0000;;27,8894;;
160328;0000;;21,1682;;
160329;0000;;14,7953;;
160330;0000;;14,8485;;
160331;0000;;15,7871;;
160401;0000;;15,3261;;
160402;0000;;11,6938;;
160403;0000;;5,14446;;
160404;0000;;10,564;;
160405;0000;;20,0837;;
160406;0000;;8,33029;;
160407;0000;;29,0078;;
160408;0000;;15,3934;;
160409;0000;;10,9961;;
160410;0000;;24,8286;;
160411;0000;;20,3716;;
160412;0000;;11,9296;;
160413;0000;;26,0337;;
160414;0000;;21,407;;
160415;0000;;5,87415;;
160416;0000;;6,78638;;
160417;0000;;4,90108;;
160418;0000;;9,13599;;
160419;0000;;5,88267;;
160420;0000;;10,1783;;
160421;0000;;12,9928;;
160422;0000;;9,09935;;
160423;0000;;8,30734;;
160424;0000;;10,8813;;
160425;0000;;11,1195;;
160426;0000;;11,7463;;
160427;0000;;16,1374;;
160428;0000;;16,1615;;
160429;0000;;19,6546;;
160430;0000;;40,6382;;
160501;0000;;32,5712;;
160502;0000;;29,5015;;
160503;0000;;27,6627;;
160504;0000;;14,2305;;
160505;0000;;10,6315;;
160506;0000;;16,5699;;
160507;0000;;14,0821;;
160508;0000;;12,7938;;
160509;0000;;13,6465;;
160510;0000;;17,3429;;
160511;0000;;10,8409;;
160512;0000;;13,3401;;
160513;0000;;15,3878;;
160514;0000;;9,5952;;
160515;0000;;15,8497;;
160516;0000;;14,464;;
160517;0000;;15,9049;;
160518;0000;;14,4018;;
160519;0000;;15,9933;;
160520;0000;;7,99256;;
160521;0000;;7,77258;;
160522;0000;;20,5696;;
160523;0000;;17,9719;;
160524;0000;;22,8827;;
160525;0000;;35,3521;;
160526;0000;;18,2417;;
160527;0000;;21,8886;;
160528;0000;;27,2486;;
160529;0000;;24,3228;;
160530;0000;;18,2968;;
160531;0000;;19,5455;;
160601;0000;;19,4035;;
160602;0000;;19,9836;;
160603;0000;;6,84296;;
160604;0000;;15,114;;
160605;0000;;9,40631;;
160606;0000;;17,5546;;
160607;0000;;19,6479;;
160608;0000;;23,2492;;
160609;0000;;25,1195;;
160610;0000;;40,1596;;
160611;0000;;35,9622;;
160612;0000;;26,804;;
160613;0000;;13,8796;;
160614;0000;;;24,3541;
160615;0000;;;41,9979;
160616;0000;;;36,491;
160617;0000;;;29,6671;
160618;0000;;;46,806;
160619;0000;;;33,144;
160620;0000;;;34,971;
160621;0000;;;56,1835;
160622;0000;;33,8732;;
160623;0000;;41,3815;;
160624;0000;;35,5385;;
160625;0000;;31,6414;;
160626;0000;;53,9308;;
160627;0000;;50,2123;;
160628;0000;;49,3171;;
160629;0000;;26,1046;;
160630;0000;;42,6595;;
160701;0000;;43,6774;;
160702;0000;;15,5427;;
160703;0000;;12,7903;;
160704;0000;;25,4803;;
160705;0000;;25,2433;;
